ACC 101, Principles of Accounting, Faculty of Business Administration, BBA
GHS 101, Physical Education, Faculty of Business Administration, BBA
GHS 111, Music Education, Faculty of Business Administration, BBA
GHS 141, The ASEAN  Way of Life, Faculty of Business Administration, BBA
GLA 101, Communication in Thai, Faculty of Business Administration, BBA
GLA 111, English I, Faculty of Business Administration, BBA
GSH 131, Psychology, Faculty of Business Administration, BBA
GSM 101, Information Technology, Faculty of Engineering, Engineer
GSM 102, Mathematics and Statistics in Daily Life, Faculty of Engineering, Engineer
GSM 111, Mathematics, Faculty of Business Administration, ACC
MAT 101, Engineering Mathematics I, Faculty of Engineering, Engineer
PHY 101, Physics I, Faculty of Engineering , Engineer
MAT 151, Engineering Mathematics I, Faculty of Engineering, Engineer
PHY 151, Physics I, Faculty of Engineering , Engineer
MAT 171, Engineering Mathematics I, Faculty of Engineering, Engineer
PHY 171, Physics I, Faculty of Engineering , Engineer
